seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
42,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.4886731391585761,0.5769230769230769,0.5596026490066225,0.763396049359937,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.6090215430355126,0.0006744735885145391,0.20841233885099258,0.0018405628534342731,0.0007270688045738816,-2.9800140467848608e-05,0.0009708737864077672,-0.002834231715433534,0.028342317154335335,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.4886731391585761,0.5769230769230769,0.5596026490066225,0.763396049359937,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.6090215430355126,0.0006744735885145391,0.20841233885099258,0.0018405628534342731,0.0007270688045738816,-2.9800140467848608e-05,0.0009708737864077672,-0.002834231715433534,0.028342317154335335,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49838187702265374,0.5789473684210527,0.5631067961165048,0.738316291793246,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.606068981404127,-0.00014468853465260178,-0.04470875720765395,0.0018233229012941993,0.0007039233440549586,0.0,0.00032362459546925567,-0.0029955593754710155,0.029955593754710155,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5823754789272031,0.5643564356435643,0.7262032002016134,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.6057353101969936,0.00023077187477162512,0.07130850930443217,0.0018082770771418685,0.0006112694394175007,-1.7459728652092748e-05,0.0008414239482200647,-0.0030127388613557155,0.030127388613557158,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
13,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5763358778625954,0.5592105263157895,0.748545551771759,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.6056402071803864,0.0004480039089341416,0.13843320786064975,0.0018359267444468248,0.000700095340512401,-1.1564610261488568e-05,0.0008414239482200647,-0.00291787751398366,0.029178775139836594,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
13,20000,0.0003,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.3,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5795454545454546,0.5602605863192183,0.7298272732709816,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.603816357822689,-0.00016178064816953683,-0.04999022028438688,0.001812466297788843,0.0005715788161779648,-1.5818678549141244e-06,0.000453074433656958,-0.002997318327938389,0.029973183279383885,-0.006361973053003307,-1.9722116464310253,9.358245953595546e-05,3.1654076412973685e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0003,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.3,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5763358778625954,0.5592105263157895,0.7377257596127718,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.603476248748589,0.00015697017486451893,0.04850378403313635,0.001817097512512925,0.0005338649226526519,-2.1318034460758426e-05,0.0007119741100323625,-0.002884648335872662,0.028846483358726614,-0.006361973053003307,-1.9722116464310253,9.358245953595546e-05,3.1654076412973685e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.25,0.1,0.1,0.02,1.0,1,0.4692556634304207,0.573170731707317,0.5508771929824562,0.7443605106121287,0.4483870967741935,0.5205992509363296,0.5129032258064516,-0.10525027460265268,0.6007206258708211,0.0035379195009056655,1.0932171257798506,0.0015352483239298464,0.0004039920310941892,-0.00010523816341290954,0.0034304207119741103,-0.0017265034026795708,0.017265034026795707,-0.007751457289274681,-2.402951759675151,-0.00024626143419505296,7.878455591374365e-05,0.0,0.0007096774193548388,-0.008293657830348213,0.0829365783034821
7,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.25,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0007870759212433598,-0.24320645966419818,0.0017786135235414876,0.0004540716208961807,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.00636724873240547,-1.9738471070456958,9.358245953595546e-05,2.6378397010811434e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.45,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.00042381862452641557,-0.13095995497866242,0.0017786135235414876,0.0008173289176131254,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006346146014796821,-1.9673052645870146,9.358245953595546e-05,4.748111461946052e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
13,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.45,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.00042381862452641557,-0.13095995497866242,0.0017786135235414876,0.0008173289176131254,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006346146014796821,-1.9673052645870146,9.358245953595546e-05,4.748111461946052e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.45,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.00042381862452641557,-0.13095995497866242,0.0017786135235414876,0.0008173289176131254,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006346146014796821,-1.9673052645870146,9.358245953595546e-05,4.748111461946052e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0005146329487056516,-0.15902158115004633,0.0017786135235414876,0.0007265145934338892,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0005146329487056516,-0.15902158115004633,0.0017786135235414876,0.0007265145934338892,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.3,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006962615970641238,-0.21514483349281427,0.0017786135235414876,0.0005448859450754168,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006361973053003307,-1.9722116464310253,9.358245953595546e-05,3.1654076412973685e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.3,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006962615970641238,-0.21514483349281427,0.0017786135235414876,0.0005448859450754168,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006361973053003307,-1.9722116464310253,9.358245953595546e-05,3.1654076412973685e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
13,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.25,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0007870759212433598,-0.24320645966419818,0.0017786135235414876,0.0004540716208961807,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.00636724873240547,-1.9738471070456958,9.358245953595546e-05,2.6378397010811434e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.45,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.00042381862452641557,-0.13095995497866242,0.0017786135235414876,0.0008173289176131254,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006346146014796821,-1.9673052645870146,9.358245953595546e-05,4.748111461946052e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.25,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0007870759212433598,-0.24320645966419818,0.0017786135235414876,0.0004540716208961807,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.00636724873240547,-1.9738471070456958,9.358245953595546e-05,2.6378397010811434e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.3,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006962615970641238,-0.21514483349281427,0.0017786135235414876,0.0005448859450754168,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006361973053003307,-1.9722116464310253,9.358245953595546e-05,3.1654076412973685e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
13,20000,0.0003,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0005146329487056516,-0.15902158115004633,0.0017786135235414876,0.0007265145934338892,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.25,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0007870759212433598,-0.24320645966419818,0.0017786135235414876,0.0004540716208961807,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.00636724873240547,-1.9738471070456958,9.358245953595546e-05,2.6378397010811434e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.45,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.00042381862452641557,-0.13095995497866242,0.0017786135235414876,0.0008173289176131254,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006346146014796821,-1.9673052645870146,9.358245953595546e-05,4.748111461946052e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0003,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0005146329487056516,-0.15902158115004633,0.0017786135235414876,0.0007265145934338892,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
13,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.25,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0007870759212433598,-0.24320645966419818,0.0017786135235414876,0.0004540716208961807,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.00636724873240547,-1.9738471070456958,9.358245953595546e-05,2.6378397010811434e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0005146329487056516,-0.15902158115004633,0.0017786135235414876,0.0007265145934338892,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0003,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
7,20000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0005146329487056516,-0.15902158115004633,0.0017786135235414876,0.0007265145934338892,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006351421694198983,-1.9689407252016848,9.358245953595546e-05,4.220543521729833e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.35,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006054472728848877,-0.1870832073214303,0.0017786135235414876,0.000635700269254653,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006356697373601146,-1.9705761858163553,9.358245953595546e-05,3.692975581513599e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
42,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.3,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.575187969924812,0.5566343042071198,0.6977890042706454,0.44516129032258067,0.5168539325842697,0.5096774193548387,-0.016773201981522434,0.5941420770786711,-0.0006962615970641238,-0.21514483349281427,0.0017786135235414876,0.0005448859450754168,0.0,6.472491909385113e-05,-0.00308448598477488,0.030844859847748794,-0.006361973053003307,-1.9722116464310253,9.358245953595546e-05,3.1654076412973685e-05,0.0,6.451612903225807e-05,-0.006551725717984496,0.06551725717984495
