seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown
7,20000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,-0.042424105652889565,-0.15848324888399312,0.5780397941161115,0.014429250771637075,4.458638488435856,0.001078735465524798,0.0014079959986368644,0.0,0.01540453074433657,-0.0025468140377471952,0.02546814037747195,-0.002666651149112996,-0.8293285073741419,-3.682501271867845e-05,4.0266609977849396e-05,0.0,0.0021864951768488746,-0.0048304146267354395,0.0483041462673544,0.3713679647977781,1.5750584464030757,2.1433825007356972,-0.12895036146824246,-0.02948068590414321,-0.047578910631429244,-0.06994914233823647,-0.19292297789607016,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,5000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.09424498132796333,-0.13075696632397316,0.5780397941161115,1.1044038429377412e-05,0.00341260787467762,0.001395638257469588,0.00167471349480027,0.0,0.0005825242718446602,-0.0025532682140649654,0.025532682140649653,-0.004403174325336861,-1.3693872151797637,0.00011744582554710572,5.0428893994640556e-05,0.0,0.0007073954983922829,-0.005245665762174374,0.05245665762174374,0.508037051778631,1.9210760495874197,2.640411168599215,-0.1377850364168024,-0.0017544033441232454,0.1186730839702336,0.17509757785579022,-0.22995050074868806,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,20000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.08586905435718384,-0.14432973378635827,0.5780397941161115,0.0007558860942807957,0.23356880313276587,0.0013828604609921636,0.0016874719722957282,0.0,0.001553398058252427,-0.0027709876152673006,0.027709876152673,-0.006024572941189822,-1.8736421847100346,8.547431080747247e-05,6.080711522332033e-05,0.0,0.00019292604501607716,-0.006324255787341533,0.06324255787341534,0.4996611248078515,1.811271060137359,2.479174351079024,-0.13872366874396513,-0.015327170806508361,0.08410319923552309,0.12711562091410575,-0.26536499137114755,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,5000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.4437299035369775,0.5168539325842697,0.5112540192926045,-0.030568222698335923,0.08586905435718384,-0.14432973378635827,0.5780397941161115,0.000755509192246885,0.23345234040428745,0.0013828604609921636,0.0016863951093416974,0.0,0.001553398058252427,-0.0027709876152673006,0.027709876152673,-0.006024572941189822,-1.8736421847100346,8.547431080747247e-05,6.080711522332033e-05,0.0,0.00019292604501607716,-0.006324255787341533,0.06324255787341534,0.4996611248078515,1.811271060137359,2.479174351079024,-0.13872366874396513,-0.015327170806508361,0.08410319923552309,0.12711562091410575,-0.26536499137114755,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4919093851132686,0.5714285714285714,0.5533980582524272,0.6315304546304883,0.3858520900321543,0.5272727272727272,0.5115384615384615,0.14485243824638494,-0.04241808613891518,-0.19609466469282433,0.5780397941161115,0.0020511779197061692,0.6338139771892063,0.0010627920215608628,0.0012638899217400107,0.0,0.0026537216828478967,-0.002107697257311594,0.021076972573115936,0.009915965893242265,3.0838653927983444,-0.00015121236833457352,-0.0003525648653893708,-0.00029980609316812606,0.017684887459807074,-0.007194505402175829,0.07194505402175828,0.3713739843117525,1.8262226965061097,2.4650664744283493,-0.1096294054152317,-0.06709210171297442,-0.18975675868801875,-0.2807154316114132,-0.20945274708291717,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
7,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4886731391585761,0.569811320754717,0.551948051948052,0.6236547425256564,0.4405144694533762,0.5169811320754717,0.511326860841424,-0.011672826465537134,-0.028968970954685203,-0.164067608065676,0.5752210244669054,0.014138376050808643,4.368758199699871,0.0011023517685924589,0.0011901438524015461,-1.576492559591321e-06,0.01475728155339806,-0.0021362311269628254,0.021362311269628252,-0.0021972019193858957,-0.6833297969290135,-4.5108573961761496e-05,9.084970273399415e-05,-1.1833420388715373e-05,0.004437299035369774,-0.006609356356362092,0.06609356356362091,0.3848230994959825,1.7288310135214617,2.434546686976145,-0.11996249177607798,-0.035065045085826085,-0.05505048696685212,-0.07471998909538942,-0.23291727437612297,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,5000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.3883495145631068,0.45112781954887216,0.4627831715210356,-0.31039130863357445,0.40514469453376206,0.47191011235955055,0.4694533762057878,-0.31695276272316897,-0.7866942300886679,-0.5025387379371421,0.30232059950403184,-0.029433046689084426,-9.094811426927087,-0.0013817779256756607,-0.0009325312533866477,0.0,0.0014886731391585762,-0.02921355596388201,0.29213555963882015,-0.03037119253699402,-9.44544087900514,-0.001295231864095465,-0.0012009878339596307,0.0,0.002315112540192926,-0.030970727471205606,0.3097072747120561,-0.3729021596380002,-1.3500839724387421,-2.0569822413444934,-0.4692311783727453,-0.3735361749572922,-1.0059434023733371,-1.2608152175537863,-0.521528678187541,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
13,20000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.34627831715210355,0.43162393162393164,0.44649446494464945,-0.37435526399672503,0.3762057877813505,0.49333333333333335,0.49809885931558934,-0.016258477700837215,-0.6296593108836346,-0.181726927894571,0.2748892524960156,-0.01523323380267633,-4.707069245026986,-0.0007650252890443687,-0.0006273880958085067,-0.00012431382513222185,0.000453074433656958,-0.014577383288623716,0.14577383288623716,-0.01817726564732126,-5.653129616316912,-0.00011550828770973363,-0.00021945323072407216,-0.000142310517833034,0.0006430868167202572,-0.018485725027745325,0.1848572502774532,-0.2158672404329669,-1.813857977823811,-2.5323989278420087,-0.2554399277841122,-0.0527243649147211,-0.16674583230021156,-0.2010276666453998,-0.2967831786337555,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
7,20000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.36893203883495146,0.42857142857142855,0.44336569579288027,-0.4249965454381224,0.41479099678456594,0.48314606741573035,0.4855305466237942,-0.0680091683056353,-0.8869463888329959,-0.2786251085885607,0.26229611393595387,-0.031484271941291,-9.728640029858918,-0.0019315552874535503,-0.0016874719722957282,0.0,0.0008414239482200647,-0.029803525411754007,0.29803525411754,-0.02868692664699644,-8.921634187215894,-0.00030050361407745325,-6.080711522332033e-05,0.0,0.002186495176848874,-0.030551635719439703,0.30551635719439707,-0.47315431838232824,-1.8007779209677395,-2.882113819673547,-0.5451502489000819,-0.1496225456087108,-0.22384462012621953,-0.2860430769526579,-0.4822221205481524,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
7,5000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.36893203883495146,0.42857142857142855,0.44336569579288027,-0.4249965454381224,0.41479099678456594,0.48314606741573035,0.4855305466237942,-0.0680091683056353,-0.8869463888329959,-0.2786251085885607,0.26229611393595387,-0.031484271941291,-9.728640029858918,-0.0019315552874535503,-0.0016874719722957282,0.0,0.0008414239482200647,-0.029803525411754007,0.29803525411754,-0.02868692664699644,-8.921634187215894,-0.00030050361407745325,-6.080711522332033e-05,0.0,0.002186495176848874,-0.030551635719439703,0.30551635719439707,-0.47315431838232824,-1.8007779209677395,-2.882113819673547,-0.5451502489000819,-0.1496225456087108,-0.22384462012621953,-0.2860430769526579,-0.4822221205481524,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,20000,0.0003,0.99,0.01,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.36893203883495146,0.42857142857142855,0.44336569579288027,-0.4249965454381224,0.41479099678456594,0.48314606741573035,0.4855305466237942,-0.0680091683056353,-0.8869463888329959,-0.2786251085885607,0.26229611393595387,-0.031484271941291,-9.728640029858918,-0.0019315552874535503,-0.0016874719722957282,0.0,0.0008414239482200647,-0.029803525411754007,0.29803525411754,-0.02868692664699644,-8.921634187215894,-0.00030050361407745325,-6.080711522332033e-05,0.0,0.002186495176848874,-0.030551635719439703,0.30551635719439707,-0.47315431838232824,-1.8007779209677395,-2.882113819673547,-0.5451502489000819,-0.1496225456087108,-0.22384462012621953,-0.2860430769526579,-0.4822221205481524,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
21,20000,0.0003,0.99,0.0,0,0.002,1,0.001,0.05,legacy,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.13915857605177995,0.0,0.0,0.0,0.13504823151125403,0.0,0.0,-0.0011947828312053321,-0.4137920704506677,-0.13269514656313686,0.0,-0.0010764627034546674,-0.3326269753674922,0.0,0.0,-0.0010764627034546674,0.0,0.0,0.0,-0.001065571086027412,-0.3313926077545251,-1.188316310924668e-05,9.097882957497525e-05,-0.0012125523155262663,0.00012861736334405144,-1.595561087191793e-06,1.595561087191793e-05,0.0,0.0,0.0,0.0,-0.003692583583286946,-1.2185007113236441,-0.3262412478894785,-0.003692583583286946,0.4137920704506677,1.7024106961553558,2.302448782787176,-0.1355773890565939,0.1290025629798499,0.5459450874590821,0.7404124446942003,-0.2288330692157109
