ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
NVDA,nvda-rx-v2-maxdelta-025,84,40000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.4935483870967742,0.5757575757575758,264,281,0.9064516129032258,0.5587188612099644,1.5949260061551485,0.4662379421221865,0.55,260,280,0.9003215434083601,0.5321428571428571,0.2666194370118635,-0.23602287294143598,-0.10102419568522292,0.6554944462417772,77.92394065856934,0.14716589499861998,45.621427449572195,0.000475660648839533,0.0006819542843004531,-0.00015747068665184858,0.002129032258064516,0.0,-0.000872898837949588,0.00872898837949588,0.025602537438921373,7.962389143504547,9.4360878026902e-05,0.00019670495884892142,-0.00018877489719235763,0.002057877813504823,0.0,-0.0018114753576406442,0.01811475357640644,0.15591845831299,1.8688090484365965,2.7802718491187006,-0.05202926851267853,0.027017690216066148,0.36071414648319156,0.4492930973116731,-0.05596269884490945,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-234932Z_nvda-rx-v2-maxdelta-025_seed84.zip,0.0846895992065064,0.251023978537307,5,2.9640473079251715,1,0.6144636748061243
NVDA,nvda-rx-v2-maxdelta-025,13,40000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,-0.09298198067611607,-0.08847550607188182,0.6566209588629767,78.42627358436584,0.12685018215713956,39.323556468713264,0.0008647711094514443,0.000994668445769418,-3.740757965694257e-06,0.0023870967741935483,0.0,-0.0011946656249515733,0.011946656249515733,0.02240949373192038,6.969352550627239,0.00014825297648197926,0.00022688056551472071,-1.1039333733143128e-05,0.0008360128617363344,0.0,-0.0021828786314427072,0.021828786314427077,0.2989593505783099,2.1324993631378963,3.3435442497171426,-0.05717403399573373,0.03956637982940725,0.34393201767832077,0.4144181708040064,-0.09632290456316495,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-233613Z_nvda-rx-v2-maxdelta-025_seed13.zip,0.0846895992065064,0.251023978537307,5,2.9640473079251715,1,0.6163502891284267
NVDA,nvda-rx-v2-maxdelta-025,84,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.46774193548387094,0.5748987854251012,247,262,0.8451612903225807,0.5610687022900763,1.639287207651726,0.17684887459807075,0.5692307692307692,65,69,0.22186495176848875,0.5507246376811594,-0.24526461150086842,-0.2885064549307248,-0.16865956990702435,0.6557700033995735,50.77506923675537,0.12307622513864992,38.15362979298148,0.0003223513206728828,0.00044676575355213666,-0.00027469287158486536,0.0017419354838709678,0.0,-0.0007611274232220295,0.007611274232220295,-0.029724129616331574,-9.24420431067912,-0.00013037629986813865,-0.00011808471252832855,-0.001439539698616916,0.002829581993569132,0.0,-0.004029432649778122,0.04029432649778122,0.10343487632370119,1.6527023080960475,2.3759244339151047,-0.036757846976752884,-0.04061768400573529,-0.8554990251713332,-0.49117852761010433,-0.06923810140113329,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-234652Z_nvda-rx-v2-maxdelta-025_seed84.zip,0.10690281573242363,0.19835810846599805,5,1.8554993814427285,1,0.6200656517847272
NVDA,nvda-rx-v2-maxdelta-025,13,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.532258064516129,0.5749128919860628,287,305,0.9838709677419355,0.5573770491803278,1.9282562649069557,0.49517684887459806,0.5422535211267606,284,306,0.9839228295819936,0.5228758169934641,0.192058520122103,0.10053938596588297,-0.14828359570200833,0.6546695607471298,46.52107858657837,0.12147283569315821,37.65657906487905,0.0013575304324045848,0.0014721992987661086,-2.948074183466743e-05,0.004838709677419355,0.0,-0.002163991343740015,0.021639913437400144,0.001001500049861445,0.3114665155069094,7.990048781492121e-07,7.711940396012724e-05,-2.69609376218928e-05,0.002122186495176849,0.0,-0.0040106669478153795,0.0401066694781538,0.49248071722030895,1.8879756133748016,2.781384403070845,-0.09294171404221208,-0.020241709800719265,0.0011056104677975801,0.001222177409616902,-0.15870372502628738,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-233338Z_nvda-rx-v2-maxdelta-025_seed13.zip,0.10690281573242363,0.19835810846599805,5,1.8554993814427285,1,0.6196532388195366
NVDA,nvda-rx-v2-maxdelta-025,42,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.5809118962808235,-0.06361382344706246,0.6566209588629767,53.20927715301514,0.12075515029625844,37.43409659184012,0.0024353082923956244,0.0025976529600881012,-3.740757965694257e-06,0.011419354838709678,0.0,-0.004398390886338699,0.04398390886338698,0.02045166430255769,6.3604675980954415,0.00034258074965361977,0.0005679016725315048,-1.1039333733143128e-05,0.006495176848874599,0.0,-0.006542009526156219,0.06542009526156219,0.9728532275352495,1.751965563139358,2.7476474240079254,-0.17972034488207933,0.06442806245422661,0.3235351199835789,0.4284417264771126,-0.21585914437800735,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-234220Z_nvda-rx-v2-maxdelta-025_seed42.zip,0.10690281573242363,0.19835810846599805,5,1.8554993814427285,1,0.6299219366557332
NVDA,nvda-rx-v2-maxdelta-025,13,20000,0.0003,0.99,0.02,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.5625094327149998,-0.06647288274271834,0.6566209588629767,47.51512622833252,0.118657582941435,36.78385071184485,0.002408831234037845,0.0027020758250695096,-3.740757965694257e-06,0.015806451612903227,0.0,-0.005794263004871986,0.057942630048719856,0.014252302716737018,4.432466144905213,0.0003576229605635145,0.00043282996985544126,-1.1039333733143128e-05,0.013183279742765272,0.0,-0.0077224869807255596,0.07722486980725558,0.9544507639694257,1.7257151835618256,2.6263490631778925,-0.24574257505754638,0.06156900315857072,0.31371694170560993,0.3908050260822675,-0.2527781919872776,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-233252Z_nvda-rx-v2-maxdelta-025_seed13.zip,-0.16291275838543248,0.3122188378731299,5,1.9164787397096101,1,0.6290262371434987
NVDA,nvda-rx-v2-maxdelta-025,21,40000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.535483870967742,0.578397212543554,287,305,0.9838709677419355,0.5606557377049181,1.9635613874923736,0.2572347266881029,0.5652173913043478,115,122,0.39228295819935693,0.5491803278688525,0.1177734588918029,-0.2560998975157165,-0.111863550787763,0.6573953275832525,83.00397443771362,0.1182293128612295,36.65108698698114,0.0004173271470047807,0.0005747265429364364,-3.6235054491421434e-05,0.0012258064516129032,0.0,-0.000728449330213051,0.0072844933021305085,0.027400199847639917,8.521462152616014,5.628010023369881e-05,9.845139922880096e-05,-0.001017951421522859,0.0007717041800643087,0.0,-0.0010282482249218791,0.010282482249218792,0.1358414337387095,1.855921156303327,3.0044617024376175,-0.03224780953669104,0.016178335113526066,0.2925515359186574,0.22449314599494166,-0.05960453205871563,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-234034Z_nvda-rx-v2-maxdelta-025_seed21.zip,0.0846895992065064,0.251023978537307,5,2.9640473079251715,1,0.6159095083632642
NVDA,nvda-rx-v2-maxdelta-025,7,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.04130212048584436,-0.04140314977152637,0.6566209588629767,49.43226432800293,0.11718391445576604,36.32701348128747,0.0012411148806188157,0.0014570109412692237,-3.740757965694257e-06,0.008451612903225807,0.0,-0.002659580523035742,0.026595805230357417,0.029763238002329804,9.25636701872457,0.0003233719068080887,0.00042293077533593577,-1.1039333733143128e-05,0.003794212218649518,0.0,-0.0028089160602649678,0.02808916060264968,0.43324345174027035,1.5623894334405908,2.3782634464396475,-0.12330379698979388,0.0866387361297627,0.4836921353692519,0.6833493975076407,-0.10708609510803169,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-232931Z_nvda-rx-v2-maxdelta-025_seed7.zip,0.10690281573242363,0.19835810846599805,5,1.8554993814427285,1,0.6321430040232868
NVDA,nvda-rx-v2-maxdelta-025,42,40000,0.0003,0.99,0.02,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.17613604105117853,0.5911275480142248,0.016053284798785095,0.6566209588629767,86.59657645225525,0.11556758962111435,35.82595278254545,0.002453631337556915,0.00263637494314239,-3.740757965694257e-06,0.013548387096774195,0.0,-0.005076922577266932,0.05076922577266932,0.026447933908077294,8.225307445412039,0.000613137541689282,0.0007130470497917508,-1.1039333733143128e-05,0.004437299035369774,0.0,-0.006263613005625225,0.06263613005625225,0.9830688792686508,1.7634029253661436,2.695017182418498,-0.21916671378077812,0.14409517070007416,0.5139454834004529,0.659224564547932,-0.24460174076945196,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260405-234346Z_nvda-rx-v2-maxdelta-025_seed42.zip,0.07812116915227915,0.27524544221357033,5,3.5233144255309723,1,0.6212104970394354
